DATA;DIA_DA_SEMANA;FERIADO;TIPO_FERIADO;DETALHES
2015-01-26;Segunda-feira;International Customs Day;Worldwide observance de 2015;
2015-01-27;Terça-feira;International Day of Commemoration in Memory of the Victims of the Holocaust;United Nations observance;
2015-02-01;Domingo;National Freedom Day;Observance;
2015-02-01;Domingo;Super Bowl;Sporting event;
2015-02-01;Domingo;First Day of Black History Month;Annual Monthly Observance;
2015-02-02;Segunda-feira;World Wetlands Day;Worldwide observance de 2015;
2015-02-02;Segunda-feira;Groundhog Day;Observance;
2015-02-04;Quarta-feira;Tu Bishvat/Tu B'Shevat;Jewish holiday;
2015-02-04;Quarta-feira;World Cancer Day;Worldwide observance de 2015;
2015-02-04;Quarta-feira;National Girls and Women in Sports Day;Observance;
2015-02-06;Sexta-feira;International Day of Zero Tolerance for Female Genital Mutilation;United Nations observance;
2015-02-06;Sexta-feira;National Wear Red Day;Observance;
2015-02-11;Quarta-feira;World Day of the Sick;Worldwide observance de 2015;
2015-02-13;Sexta-feira;World Radio Day;United Nations observance;
2015-02-13;Sexta-feira;Friday the 13th;Worldwide observance de 2015;
2015-02-14;Sábado;Valentine's Day;Observance;
2015-02-16;Segunda-feira;Maha Shivaratri;Hindu Holiday;
2015-02-16;Segunda-feira;Presidents' Day de 2015;Federal Holiday de 2015;
2015-02-17;Terça-feira;Shrove Tuesday/Mardi Gras;Observance, Christian;
2015-02-18;Quarta-feira;Ash Wednesday;Christian;
2015-02-19;Quinta-feira;Lunar New Year;Observance;
2015-02-20;Sexta-feira;World Day of Social Justice;United Nations observance;
2015-02-21;Sábado;International Mother Language Day;United Nations observance;
2015-03-01;Domingo;Zero Discrimination Day;United Nations observance;
2015-03-01;Domingo;Self-Injury Awareness Day;Worldwide observance de 2015;
2015-03-01;Domingo;St. David's Day;Observance, Christian;
2015-03-01;Domingo;First Day of Women's History Month;Annual Monthly Observance;
2015-03-01;Domingo;First Day of Irish American Heritage Month;Annual Monthly Observance;
2015-03-02;Segunda-feira;Read Across America Day;Observance;
2015-03-03;Terça-feira;World Wildlife Day;United Nations observance;
2015-03-05;Quinta-feira;Holi;Hindu Holiday;
2015-03-05;Quinta-feira;Purim;Jewish holiday;
2015-03-06;Sexta-feira;Employee Appreciation Day;Observance;
2015-03-08;Domingo;International Women's Day;United Nations observance;
2015-03-08;Domingo;Daylight Saving Time starts;Clock change/Daylight Saving Time;
2015-03-12;Quinta-feira;World Kidney Day;Worldwide observance de 2015;
2015-03-13;Sexta-feira;Friday the 13th;Worldwide observance de 2015;
2015-03-17;Terça-feira;St. Patrick's Day;Observance, Christian;
2015-03-20;Sexta-feira;French Language Day;United Nations observance;
2015-03-20;Sexta-feira;International Day of Happiness;United Nations observance;
2015-03-20;Sexta-feira;March Equinox;Season;
2015-03-21;Sábado;International Day for the Elimination of Racial Discrimination;United Nations observance;
2015-03-21;Sábado;World Poetry Day;United Nations observance;
2015-03-21;Sábado;International Day of Nowruz;United Nations observance;
2015-03-21;Sábado;World Down Syndrome Day;United Nations observance;
2015-03-21;Sábado;International Day of Forests;United Nations observance;
2015-03-22;Domingo;World Water Day;United Nations observance;
2015-03-23;Segunda-feira;World Meteorological Day;United Nations observance;
2015-03-24;Terça-feira;World Tuberculosis Day;United Nations observance;
2015-03-24;Terça-feira;International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims;United Nations observance;
2015-03-25;Quarta-feira;International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade de 2015;United Nations observance;
2015-03-25;Quarta-feira;International Day of Solidarity with Detained and Missing Staff Members;United Nations observance;
2015-03-28;Sábado;Earth Hour;Worldwide observance de 2015;
2015-03-29;Domingo;Palm Sunday;Christian;
2015-03-30;Segunda-feira;Doctors' Day;Observance;
2015-04-01;Quarta-feira;April Fool's Day;Worldwide observance de 2015;
2015-04-02;Quinta-feira;Maundy Thursday;Christian;
2015-04-02;Quinta-feira;World Autism Awareness Day;United Nations observance;
2015-04-03;Sexta-feira;Passover Eve;Jewish holiday;
2015-04-04;Sábado;Holy Saturday;Christian;
2015-04-04;Sábado;Passover (first day);Jewish holiday;
2015-04-04;Sábado;United Nations' Mine Awareness Day;United Nations observance;
2015-04-05;Domingo;Easter Sunday;Observance, Christian;
2015-04-06;Segunda-feira;International Day of Sport for Development and Peace;United Nations observance;
2015-04-06;Segunda-feira;Easter Monday;Observance, Christian;
2015-04-06;Segunda-feira;National Tartan Day;Observance;
2015-04-07;Terça-feira;United Nations' World Health Day;United Nations observance;
2015-04-07;Terça-feira;Day of Remembrance of the Victims of the Rwanda Genocide de 2015;United Nations observance;
2015-04-10;Sexta-feira;Orthodox Good Friday;Orthodox;
2015-04-11;Sábado;Last Day of Passover;Jewish holiday;
2015-04-11;Sábado;Orthodox Holy Saturday;Orthodox;
2015-04-12;Domingo;Orthodox Easter;Orthodox;
